Seller and time,Full name,Market value,Average value,Ante penultimate match score,Penultimate match score,Last match score,Sale,Time Stamp
"Libre, finaliza en 8h 6m",26,D. Machís,↓ 3.882.000,"3,3",3,-,-9,3.882.000,2023-10-21 12:53:18
"Libre, finaliza en 8h 6m",24,C. Fernández,↑ 1.325.000,"4,8",10,-,6,1.325.000,2023-10-21 12:53:18
"Libre, finaliza en 8h 6m",6,Á. Negredo,↓ 187.000,"2,0",-,-,3,187.000,2023-10-21 12:53:18
"Libre, finaliza en 8h 6m",5,S. Weissman,160.000,"2,5",3,-,-,160.000,2023-10-21 12:53:18
"Libre, finaliza en 8h 6m",30,M. Merino,↑ 9.984.000,"4,3",5,4,3,9.984.000,2023-10-21 12:53:18
"Libre, finaliza en 8h 6m",7,R. Kouamé,↑ 425.000,"2,3",-,3,3,425.000,2023-10-21 12:53:18
"Libre, finaliza en 8h 6m",3,J. Mari,↓ 160.000,"1,5",2,-,-,160.000,2023-10-21 12:53:18
"Libre, finaliza en 8h 6m",1,J. Ander Olasagasti,↓ 160.000,"1,0",-,-,-,160.000,2023-10-21 12:53:18
"PepeChen, finaliza en 8h 6m",35,D. Djené,↓ 3.677.000,"3,9",3,5,4,3.677.000,2023-10-21 12:53:18
"PepeChen, finaliza en 8h 6m",8,É. González,↓ 965.000,"1,1",-1,4,-,965.000,2023-10-21 12:53:18
"Libre, finaliza en 8h 6m",0,M. Pascual,160.000,"0,0",-,-,-,160.000,2023-10-21 12:53:18
"Libre, finaliza en 6m 42s",21,C. Larin,↓ 1.938.000,"2,6",3,-,2,1.959.000,2023-10-21 12:53:18
"Libre, finaliza en 6m 42s",52,F. Valverde,↑ 16.554.000,"5,8",4,4,9,16.545.000,2023-10-21 12:53:18
"Libre, finaliza en 6m 42s",55,Gavi,↓ 15.252.000,"6,1",6,8,4,15.257.000,2023-10-21 12:53:18
"Libre, finaliza en 6m 42s",31,O. Romeu,↓ 8.310.000,"3,4",1,2,3,8.430.000,2023-10-21 12:53:18
"Libre, finaliza en 6m 42s",40,Ó. Valentín,↓ 5.407.000,"4,4",3,2,10,5.420.000,2023-10-21 12:53:18
"Libre, finaliza en 6m 42s",0,M. Tejón,↓ 160.000,"0,0",-,-,-,171.000,2023-10-21 12:53:18
"Libre, finaliza en 6m 42s",1,I. Kébé,↑ 179.000,"1,0",-,-,1,160.000,2023-10-21 12:53:18
"Libre, finaliza en 6m 42s",1,S. García,160.000,"1,0",-,-,-,160.000,2023-10-21 12:53:18
"Libre, finaliza en 6m 42s",0,J. Roca,↑ 208.000,"0,0",-,-,-,160.000,2023-10-21 12:53:18
"Libre, finaliza en 6m 42s",28,R. Sánchez,↑ 2.018.000,"2,8",10,4,1,1.991.000,2023-10-21 12:53:18
"Libre, finaliza en 6m 42s",7,Ç. Söyüncü,↓ 574.000,"3,5",-,-,-,602.000,2023-10-21 12:53:18
