Team Name,Puntos,Media,Valor,Jugadores
FantasIA,12,12.0,21.1M,15
M32-G8 - Los Capys,47,23.5,55.0M,16
M31-G4-DLA,43,21.5,57.2M,17
M32-G9-PREDITECH INSIGHTS,65,32.5,69.2M,13
M32-G2-xGarcii,61,30.5,33.9M,15
M32-G1-Cyber-Football,37,18.5,35.2M,15
M31-G7-DraftKings,114,57.0,83.2M,14
Admin,84,42.0,102.4M,14
M32-G5-BabooManager,46,23.0,68.9M,11
M31-G3-CactusPanda,86,43.0,88.6M,12
M31-G5-REALE,22,22.0,36.2M,15
jluzon,61,30.5,52.6M,16
albertohg,72,36.0,53.9M,15
M32-G6_Jammin&#039;,54,27.0,63.1M,17
M31-G6-AcMilanesa,76,38.0,86.0M,11
M31-G1-FutX,65,32.5,69.5M,12
M32-G3-GoalAnalitics,87,43.5,68.0M,19
M31-G2-UA2C,77,38.5,76.1M,10
M32-G7-KleinGroup,55,27.5,37.2M,15
M32-G2-dreamx1,58,29.0,48.0M,15
