Player full name,Current Value,Points,Average,Matches,Goals,Cards,Time Stamp
JudeBellingham,20.974.000,96,12.0,8,8,1,2023-10-20 23:00:38.652779
TakefusaKubo,18.227.000,77,9.6,8,5,0,2023-10-20 23:01:19.748888
BryanZaragoza,10.635.000,72,8.0,10,5,3,2023-10-20 23:02:00.810803
IñakiWilliams,15.049.000,67,7.4,9,4,2,2023-10-20 23:03:11.969543
AleixGarcía,15.886.000,66,7.3,9,2,1,2023-10-20 23:04:19.059821
VedatMuriqi,15.080.000,66,7.3,9,4,0,2023-10-20 23:05:26.361464
JavierGuerra,12.709.000,63,7.0,9,3,1,2023-10-20 23:06:09.119640
Isco,13.387.000,60,6.7,9,1,3,2023-10-20 23:06:51.993563
BraisMéndez,15.144.000,59,6.6,9,1,3,2023-10-20 23:07:36.994883
Pepelu,11.887.000,59,6.6,9,1,0,2023-10-20 23:08:20.587787
AntoineGriezmann,21.660.000,58,7.3,8,4,3,2023-10-20 23:09:04.135571
DavidLópez,12.645.000,58,6.4,9,2,2,2023-10-20 23:09:45.553951
JeremíasLedesma,11.374.000,58,6.4,9,0,0,2023-10-20 23:10:30.650504
JonathanViera,12.415.000,56,6.2,9,2,1,2023-10-20 23:11:13.215598
Gavi,15.257.000,55,6.1,9,1,3,2023-10-20 23:11:56.776902
Sávio,11.222.000,55,6.1,9,2,1,2023-10-20 23:12:39.138528
ÁlvaroGarcía,11.047.000,55,6.1,9,3,3,2023-10-20 23:13:22.787318
ÁlvaroValles,10.902.000,55,6.1,9,0,0,2023-10-20 23:14:08.483249
AlexRemiro,10.761.000,54,6.0,9,0,1,2023-10-20 23:14:51.921973
BorjaMayoral,9.910.000,54,6.0,9,4,2,2023-10-20 23:15:35.389714
YangelHerrera,10.167.000,53,5.9,9,3,3,2023-10-20 23:16:19.228218
ChrisRamos,7.761.000,53,5.9,9,2,1,2023-10-20 23:17:02.340391
FedeValverde,16.545.000,52,5.8,9,1,0,2023-10-20 23:17:45.599931
MikelOyarzabal,11.918.000,52,5.8,9,4,1,2023-10-20 23:18:29.466835
LamineYamal,10.997.000,52,5.8,9,1,1,2023-10-20 23:19:11.136550
GorkaGuruzeta,10.652.000,52,5.8,9,4,1,2023-10-20 23:19:55.629355
Jørgen StrandLarsen,9.136.000,52,5.8,9,3,1,2023-10-20 23:20:38.464129
RobertLewandowski,21.658.000,51,6.4,8,5,2,2023-10-20 23:21:21.075645
Joselu,15.472.000,51,5.7,9,5,0,2023-10-20 23:22:01.641114
