Team Name,Points,Average,Value,Players
Admin,182,36.4,148.2M,16
M32-G6_Jammin&#039;,141,28.2,57.7M,16
M32-G1-Cyber-Football,138,27.6,39.4M,15
M31-G5-REALE,86,21.5,35.2M,15
M32-G3-GoalAnalitics,189,37.8,83.2M,11
M32-G2-xGarcii,188,37.6,40.5M,15
M31-G6-AcMilanesa,223,44.6,101.8M,11
M31-G4-DLA,112,22.4,51.1M,16
M32-G7-KleinGroup,111,22.2,35.5M,15
M32-G8 - Los Capys,72,24.0,25.8M,15
M31-G1-FutX,162,32.4,71.7M,12
M32-G4-FantasIA,61,15.3,17.3M,15
M31-G7-DraftKings,243,48.6,93.9M,13
M32-G2-dreamx1,140,28.0,48.9M,15
M31-G2-UA2C,176,35.2,93.2M,12
M32-G9-PREDITECH INSIGHTS,188,37.6,80.3M,11
M32-G5-BabooManager,211,42.2,87.8M,12
M31-G3-CactusPanda,182,36.4,85.5M,11
albertohg,156,31.2,59.4M,15
jluzon,144,28.8,60.8M,17
